whiskyID,rev_ID,date,rating,text
6,6-34,27.03.2015,1.0,"Aroma: dominierender Torfrauch, Jod/medizinisch, im Hintergrund leichter Sherry und Vanille Geschmack: wieder extrem torfig, rauchig und medizinisch, kurz süß, dann prickelnde Schärfe auf der Zunge  Abgang: lang, Rauch, Jod  Kommentar: Ich hatte ihn jetzt zum 4ten und letzten mal im Glas, werde mit dem Job aber einfach nicht warm"
6,6-35,26.11.2014,3.0,Aroma:   Geschmack: sehr intensiv  Abgang:   Kommentar:
6,6-36,20.01.2015,4.0,
6,6-37,14.05.2016,5.0,
6,6-38,08.07.2014,4.0,"Aroma: Mild im Alkohol. Viel Rauch, aber von der angenehmeren torfigen Art. Rosinen und Lebkuchen.  Geschmack: Weich, dann eine pfeffrige Schärfe, dahinter Zitrusaromen, Malz und Apfel. Vom Rauch hier kaum noch etwas zu spüren.  Abgang: Leicht und eher trochen in einem langen Abgang. Wieder die pfeffrige Würze, gefolgt von Rauch und Eiche Aromen.  Kommentar: Angenehm rund für einen Rauchigen. Hätte auch 4,5 Sterne vergeben, wenn das möglich wäre."
6,6-39,22.02.2011,4.0,"Aroma: Intensiver Rauch mit Seetang und Gewürznoten  Geschmack: Kräftiger Antritt mit intensiver Rauchnote und einem Hauch von Salz und Seetang, wird langsam abgelöst von den Sherryfass-Noten mit süßen Vanille- und Schokoladearomen  Abgang: Der Rauch bleibt noch lange erhalten mit medizinisch-phenolischem Geschmack  Kommentar: Ein großer, sehr komplexer Whisky mit intensiver Rauchigkeit. Da ich selbst die rauchigen Whiskys nicht so sehr bevorzuge, gibt es von mir ""nur"" 4 Flachen als Bewertung"
6,6-40,26.07.2021,4.0,"Aroma: <Rauch> <Lagerfeuer> <Schinken> <Süße>   Geschmack: <Rauch> <Sherry> <Eiche> <Gewürze> <Süße> <Maritime Noten>   Abgang: <Rauch> <Herb> <Süße> <Salz>   Kommentar: kräftiger Rauch wie Lagerfeuer und geräuchertem Schinken, schön verbunden mit Sherryfass und leichter süße, Rauch bleibt, Holz und Teer, wieder verbunden mit süße, Rauch und leicht salzig maritim"
6,6-41,26.07.2021,5.0,
6,6-42,22.04.2012,4.0,"Aroma: Jod, Seetang, Salz, Anis, Lagerfeuerrauch, Eiche, Süße  Geschmack: intensiver Antriit mit deutlicher Rauch, trockene Süße, Anis, Fenchel, Süßholz.  Abgang: sehr lang, glühend und intensiv, anhaltend   Kommentar: eine wahre Geschmacksexplosion aber von allem ein Tick zuviel."
6,6-43,28.12.2015,4.0,"Aroma: Süßer Torfrauch, Baumharz, Leder und erdige Noten.  Geschmack: Sherry, Asche, Kaffee, Waldhonig und maritime Noten.  Abgang: Lang und wärmend mit Gewürzen, dunklen Früchten und trockener Eiche.  Kommentar: Am besten immer eine Flasche parat haben!"
6,6-44,29.03.2011,4.0,
6,6-45,26.08.2011,5.0,
6,6-46,17.09.2013,5.0,
6,6-47,12.12.2013,5.0,"Aroma: deutliche rauchige Torfnase, dahinter süß, erst Sherry, dann auch leichte Vanille-, Holz- und Gewürztöne  Geschmack: trockene Sherrysüße, kaum Gewürzton und nur Spuren von Vanille, mittelschwerer Körper  Abgang: lang, trocken und rauchig  Kommentar: sehr lecker, aber nicht mehr ganz so komplex wie früher"
6,6-48,09.03.2014,4.0,"Aroma: Sherry, Rauch und eine Prise Salz   Geschmack: Sherry, Rauch, Salz und Würze bilden einen stimmigen Einklang nach etwas geräuchertem   Abgang: Lang und wärmend mit angenehmer Rauchnote  Kommentar: Der Ruf dem dieser Single Malt voraus eilt wird ihm auch gerecht. Ein sehr harmonischer Whisky mit bleibendem Eindruck"
6,6-49,28.03.2011,5.0,"Aroma: Rauch, Räucherspeck, aber herrlich in eine zarte Süße eingebunden, Meeraromen ( eine Spur Salz, eine Spur Tank)  Geschmack: zuerst Rauch, doch dann folgt eine harmonisch eingebundene Süße, nichts brennt, der Gentleman unter den Islay-Whiskys  Abgang: lang, die Süße bleibt auf der Zunge zurück, der Rauch verbleibt länger und zieht sich die Speiseröhre runter, Starke 5 Punkte  Kommentar:"
6,6-50,02.11.2017,5.0,"Aroma: Intensiver Rauch, Räucherschinken, Iod/maritime Note. Zweites Riechen: wird frischer, alkoholische Note, Minze, Jasminblüte  Geschmack: Trockene Würzigkeit vom Rauch belegt den Mundraum, schwere dunkle Frucht  Abgang: Zartbitterschokolade, Eiche, immer noch Rauch  Kommentar: toller Whisky! Einer meiner liebsten."
6,6-51,21.11.2017,,"Aroma: <Rauch> <Schinken> <Jod> <Seetang> <Alkohol>  Zweites Riechen: wird frischer, alkoholische Note, Minze, Jasminblüte  Geschmack: <Getrocknete Früchte> <Rauch>   Abgang: <Dunkle Schokolade> <Eiche> <Rauch>  Kommentar: toller Whisky! Einer meiner liebsten."
6,6-52,23.12.2014,5.0,"Aroma: Rauch, fruchtig süß, Sherry, Eiche, Meerluft, leichte Citrusfrische  Geschmack: Würzig, rauchig, volle Süße, aromatisch, salzig, maritim, Lagerfeuer und Holzkohle,  „Es brennt nicht, es glüht“ :D  Abgang: Lang und kräftig  Mit Wasser: Fruchtiger Sirup, blumiges Parfum, Rauch nimmt etwas zu  Kommentar: Runder, komplexer und besser als Bowmore Darkest. Lagavulin Distillers Edition ist noch eine Spur besser als der normale 16er."
6,6-53,01.10.2018,4.0,"<Rauch> <Medizinischer Rauch> <Süße> <Früchte> <Floral> <Gewürze> <Zitrus>   Aroma: Rauchig, leicht süß und fruchtig, etwas blumig und Gewürze, leichte Citrusfrische  Geschmack: Kräftiger und würziger Rauch, süß, Gewürze  Mit Wasser: Phenolischer Rauch und fruchtiger  Kommentar: Insgesamt mehr phenolischer Rauch als Lagerfeuerrauch. Dieses Batch L8073CM004 (2018) ist weniger aromatisch als alte Abfüllung L4191CM000 (2014)."
6,6-54,08.07.2013,5.0,
6,6-55,30.12.2013,5.0,"Aroma:  süßer kräftiger Rauch, etwas phenolisch, Spur von Kräuterlikör mit einem Schuss Hustensaft, Seetang und Strand, entwickelt sich zu einem leicht salzigen Schinken der über süßem Holz geräuchert wurde   Geschmack: kräftig, voll, rund, geschmeidige weiche Öligkeit, süß mit leichter Würze, Rauch, erdig/torfig  Abgang:  lang, süß, altes Leder, etwas salzig mit Zartbitterschokolade  Kommentar:  Ein fantastischer Whisky, der von Anfang an Lust auf mehr macht. Hab ich immer wieder gern nach dem grillen im Glas. Dieser Whisky ist ein Torfmonster, der viel mehr liefert als nur Torf und ""Gestank"". Er ist schön Facettenreich und Charakterstark mit einem guten PLV. Muss man probiert haben, außen man kann mit Rauch nichts anfangen, dann Hände davon lassen."
